name,time
Alliser Thorne,67.83333333333333
Arya Stark,405.25
Baby Sam,55.75
Barristan Selmy,109.61666666666666
Benjen Stark,26.733333333333334
Beric Dondarrion,86.18333333333334
Bran Stark,239.1
Brienne of Tarth,240.93333333333334
Bronn,156.88333333333333
Brynden Tully,33.38333333333333
Catelyn Stark,154.95
Cersei Lannister,425.3666666666667
Daario Naharis,92.86666666666666
Daenerys Targaryen,528.2333333333333
Davos Seaworth,303.0833333333333
Doreah,50.61666666666667
Drogon,108.61666666666666
Eddard Stark,143.4
Eddison Tollett,111.11666666666666
Edmure Tully,48.46666666666667
Ellaria Sand,46.63333333333333
Euron Greyjoy,52.43333333333333
Gendry,129.08333333333334
Ghost,48.483333333333334
Gilly,97.16666666666667
Grand Maester Pycelle,107.65
Gregor Clegane,100.43333333333334
Grenn,69.76666666666667
Grey Worm,182.53333333333333
High Sparrow,51.53333333333333
Hizdahr zo Loraq,34.46666666666667
Hodor,80.51666666666667
Hot Pie,31.533333333333335
Irri,47.916666666666664
Jaime Lannister,394.5833333333333
Janos Slynt,51.86666666666667
Jaqen H'ghar,38.2
Jeor Mormont,41.21666666666667
Joffrey Baratheon,146.85
Jojen Reed,45.016666666666666
Jon Snow,672.75
Jorah Mormont,327.55
Jory Cassel,33.266666666666666
Kevan Lannister,27.333333333333332
Khal Drogo,59.583333333333336
Lancel Lannister,38.46666666666667
Locke,33.7
Loras Tyrell,72.56666666666666
Lord Varys,267.1166666666667
Lyanna Mormont,40.03333333333333
Lysa Arryn,25.866666666666667
Mace Tyrell,64.55
Maester Aemon,34.68333333333333
Maester Luwin,48.6
Mance Rayder,28.25
Margaery Tyrell,138.3
Meera Reed,66.91666666666667
Melisandre,120.38333333333334
Meryn Trant,46.483333333333334
Mirri Maz Duur,23.35
Missandei,228.28333333333333
Myranda,21.166666666666668
Myrcella Baratheon,41.46666666666667
Oberyn Martell,55.85
Olenna Tyrell,79.25
Olly,49.8
Osha,54.13333333333333
Othell Yarwyck,35.016666666666666
Petyr Baelish,213.98333333333332
Podrick Payne,124.5
Pypar,41.25
Qhono,59.55
Qotho,26.45
Qyburn,87.38333333333334
Rakharo,44.13333333333333
Ramsay Snow,104.3
Rast,43.03333333333333
Renly Baratheon,56.516666666666666
Rhaegal,65.7
Rickon Stark,46.166666666666664
Robb Stark,128.68333333333334
Robert Baratheon,57.05
Robin Arryn,37
Rodrik Cassel,61.13333333333333
Roose Bolton,54.766666666666666
Ros,30.816666666666666
Samwell Tarly,268.6333333333333
Sandor Clegane,231.46666666666667
Sansa Stark,428.4166666666667
Selyse Baratheon,23.05
Septa Mordane,21.55
Septa Unella,24.2
Shae,69.31666666666666
Shireen Baratheon,26.766666666666666
Stannis Baratheon,105.75
Summer,44.46666666666667
Talisa Maegyr,53.28333333333333
The Night King,27.05
The Waif,21.65
Theon Greyjoy,261.25
Thoros of Myr,62.833333333333336
Three-Eyed Raven,22.45
Tommen Baratheon,97.58333333333333
Tormund Giantsbane,194.55
Tyene Sand,26.966666666666665
Tyrion Lannister,685.0666666666667
Tywin Lannister,143.58333333333334
Viserion,59.333333333333336
Viserys Targaryen,36.583333333333336
Walder Frey,30.6
White Walker,25.95
Wun Wun,24.4
Xaro Xhoan Daxos,20.7
Yara Greyjoy,73.91666666666667
Ygritte,78.63333333333334
Yohn Royce,67.31666666666666
Yoren,29.766666666666666
